snapshot_name,optimizer_step,support_intent,state_id,disclosure_level,activation_level,trust_level,complete_groups,pass_rate_sum,raw_unit_pass_rate,shared_state_prior,hierarchical_pass_rate,boundary_value,uncertainty_bonus,allocation_score,sampling_probability
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,0,delayed,moderate,trust_1,6,3.0,0.5,0.27325581395348836,0.40930232558139534,0.8186046511627907,0.9902992172621985,0.9671495337521204,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,1,delayed,moderate,trust_2,4,0.0,0.0,0.27205882352941174,0.13602941176470587,0.2720588235294117,1.1717378356928534,0.4478194988833397,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,2,delayed,moderate,trust_3,5,2.25,0.45,0.40625,0.4305555555555556,0.8611111111111112,1.0696454068187629,1.0215579221339255,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,3,delayed,moderate,trust_4,4,0.5,0.125,0.3409090909090909,0.23295454545454544,0.46590909090909083,1.1717378356928534,0.6416697662630189,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,4,delayed,high,trust_1,2,0.0,0.0,0.20121951219512196,0.13414634146341464,0.2682926829268293,1.5127070412531811,0.49519873911480644,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,5,delayed,high,trust_2,8,2.0,0.25,0.24305555555555555,0.2476851851851852,0.49537037037037046,0.8733618174725665,0.6263746429912554,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,6,delayed,high,trust_3,9,3.0,0.3333333333333333,0.3181818181818182,0.32867132867132864,0.6573426573426573,0.8285437693912652,0.781624222751347,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,7,delayed,high,trust_4,4,0.25,0.0625,0.21052631578947367,0.13651315789473684,0.2730263157894737,1.1717378356928534,0.4487869911434017,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,8,conditional,moderate,trust_1,5,2.5,0.5,0.24553571428571427,0.3869047619047619,0.7738095238095238,1.0696454068187629,0.9342563348323383,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,9,conditional,moderate,trust_2,4,1.75,0.4375,0.37857142857142856,0.4080357142857143,0.8160714285714286,1.1717378356928534,0.9918321039253566,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,10,conditional,moderate,trust_3,3,0.25,0.08333333333333333,0.30625,0.21071428571428572,0.4214285714285715,1.3100427262088497,0.6179349803598989,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,11,conditional,moderate,trust_4,9,3.25,0.3611111111111111,0.2972972972972973,0.3414760914760915,0.682952182952183,0.8285437693912652,0.8072337483608727,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,12,conditional,high,trust_1,1,0.0,0.0,0.35365853658536583,0.28292682926829266,0.5658536585365853,1.8526801906927786,0.8437556871405021,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,13,conditional,high,trust_2,1,0.0,0.0,0.34146341463414637,0.2731707317073171,0.5463414634146342,1.8526801906927786,0.824243492018551,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,14,conditional,high,trust_3,6,1.0,0.16666666666666666,0.34444444444444444,0.23777777777777778,0.4755555555555555,0.9902992172621985,0.6241004381448853,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,15,conditional,high,trust_4,4,2.25,0.5625,0.2978723404255319,0.43018617021276595,0.8603723404255319,1.1717378356928534,1.03613301577946,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,16,proactive,moderate,trust_1,9,1.75,0.19444444444444445,0.28365384615384615,0.22189349112426035,0.44378698224852076,0.8285437693912652,0.5680685476572105,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,17,proactive,moderate,trust_2,8,2.5,0.3125,0.2631578947368421,0.29605263157894735,0.5921052631578947,0.8733618174725665,0.7231095357787797,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,18,proactive,moderate,trust_3,3,0.75,0.25,0.31666666666666665,0.28809523809523807,0.5761904761904761,1.3100427262088497,0.7726968851218036,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,19,proactive,moderate,trust_4,6,3.0,0.5,0.25925925925925924,0.40370370370370373,0.8074074074074075,0.9902992172621985,0.9559522899967372,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,20,proactive,high,trust_1,6,2.25,0.375,0.4166666666666667,0.3916666666666667,0.7833333333333334,0.9902992172621985,0.9318782159226632,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,21,proactive,high,trust_2,5,2.75,0.55,0.40131578947368424,0.4839181286549708,0.9678362573099416,1.0696454068187629,1.128283068332756,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,22,proactive,high,trust_3,1,0.0,0.0,0.3806818181818182,0.30454545454545456,0.6090909090909091,1.8526801906927786,0.8869929376948259,0.041666666666666664
warmup_end,60,你希望对方引导你针对事件进行自我反思，收获自我成长,23,proactive,high,trust_4,10,3.25,0.325,0.3235294117647059,0.3245798319327731,0.6491596638655462,0.7899854876670986,0.767657487015611,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,0,delayed,moderate,trust_1,3,0.75,0.25,0.30434782608695654,0.281055900621118,0.562111801242236,1.3100427262088497,0.7586182101735635,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,1,delayed,moderate,trust_2,6,1.25,0.20833333333333334,0.25,0.225,0.44999999999999996,0.9902992172621985,0.5985448825893297,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,2,delayed,moderate,trust_3,4,2.0,0.5,0.4015151515151515,0.45075757575757575,0.9015151515151515,1.1717378356928534,1.0772758268690794,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,3,delayed,moderate,trust_4,5,2.5,0.5,0.3023255813953488,0.41214470284237725,0.8242894056847545,1.0696454068187629,0.984736216707569,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,4,delayed,high,trust_1,3,0.25,0.08333333333333333,0.2,0.15,0.30000000000000004,1.3100427262088497,0.49650640893132747,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,5,delayed,high,trust_2,2,0.25,0.125,0.25,0.20833333333333334,0.41666666666666674,1.5127070412531811,0.643572722854644,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,6,delayed,high,trust_3,2,0.25,0.125,0.33125,0.2625,0.525,1.5127070412531811,0.7519060561879771,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,7,delayed,high,trust_4,7,1.0,0.14285714285714285,0.20714285714285716,0.16623376623376626,0.3324675324675326,0.9263400953463893,0.47141854676949096,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,8,conditional,moderate,trust_1,7,2.25,0.32142857142857145,0.25925925925925924,0.2988215488215488,0.5976430976430976,0.9263400953463893,0.7365941119450561,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,9,conditional,moderate,trust_2,10,3.25,0.325,0.4051724137931034,0.3479064039408867,0.6958128078817734,0.7899854876670986,0.8143106310318382,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,10,conditional,moderate,trust_3,5,1.5,0.3,0.2894736842105263,0.2953216374269006,0.5906432748538012,1.0696454068187629,0.7510900858766156,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,11,conditional,moderate,trust_4,5,1.5,0.3,0.31097560975609756,0.30487804878048785,0.6097560975609757,1.0696454068187629,0.7702029085837901,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,12,conditional,high,trust_1,8,2.5,0.3125,0.35294117647058826,0.32598039215686275,0.6519607843137255,0.8733618174725665,0.7829650569346105,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,13,conditional,high,trust_2,6,1.75,0.2916666666666667,0.3402777777777778,0.3111111111111111,0.6222222222222222,0.9902992172621985,0.770767104811552,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,14,conditional,high,trust_3,4,1.5,0.375,0.3191489361702128,0.3470744680851064,0.6941489361702128,1.1717378356928534,0.8699096115241408,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,15,conditional,high,trust_4,6,2.75,0.4583333333333333,0.3,0.395,0.79,0.9902992172621985,0.9385448825893298,0.041666666666666664
warmup_end,60,你希望对方深刻共情你的感受，而不是简单的安慰,16,proactive,moderate,trust_1,10,3.0,0.3,0.2647058823529412,0.2899159663865546,0.5798319327731092,0.7899854876670986,0.698329755923174,0.041666666666666664
